smiles,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro)
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C(=O)N2CCCCCC2)C1 |&1:16|,9.0,
"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C[C@H]2CCOC2)C1 |&1:17,&2:19|",4.33,4.33
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC=N2)C1 |&1:16|,4.26,4.15
O=C([C@H]1CC2=CC=CC=C2CN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1 |&1:2|,4.21,4.61
"C[C@H]1C[C@H](C2=CSC=C2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",4.1,5.05
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1CCCC1 |&1:16|,4.62,4.92
"C[C@H](C1=CC=CC=C1)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:8|",3.69,4.77
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CSC=C2)C1,4.29,4.65
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=NC=C1 |&1:17|,3.95,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=CC=N2)CC1,4.22,
CN1C[C@H](CC2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)CC1=O |&1:3|,4.0,4.49
CN(C1=CC=CC=C1)[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:8|,4.25,4.51
CC1=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=CS1 |&1:4|,3.11,5.09
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CS2)CC1,4.23,4.44
CC1=NC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=CS1 |&1:4|,4.1,4.67
O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(C2=CC=CN=C2)CC1,,4.04
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C2CC1,4.04,5.01
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CC=CC=N2)C1,4.24,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=NC=CO2)CC1,4.3,4.11
"C[C@H]1CC[C@H](C2=CC=CC=C2)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:4|",4.82,5.02
CC1=CC(C)=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:7|,9.0,
"CCN1CCC[C@H]1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6,&2:7|",4.28,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2CCCCC2)C1 |&1:16|,,4.08
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C(=O)N2CCCC2)CC1,6.83,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC=C2)C1 |&1:16|,4.4,4.73
O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1=CC=CC=C1 |&1:25|,4.18,5.15
C[C@]1(C2=CC=C(F)C=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,4.6,4.84
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CN=C2)C1 |&1:17|,9.0,4.21
CC1=CC=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8|,4.09,4.43
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CSC=N2)CC1,,4.1
C=CC(=O)NC1=CC=C(Cl)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.03,5.3
CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]1C1=CC=CS1 |&1:18|,4.6,4.86
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl,,7.48
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(Br)C=C1C,,6.84
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(CC1=CC=CC=C1)[C@H]1CCS(=O)(=O)C1,9.0,
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CCC(C)(C(=O)NC)CC1,6.59,
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N1CC[C@@H](C2=CC=C(F)C=C2)[C@H](COC2=CC=C3OCOC3=C2)C1,6.41,
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=NC=C(C(F)(F)F)C=C1,,6.53
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C2OCCOC2=C1,6.6,
C=C(CNC1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,4.79,4.99
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](CC2CCCCC2)C1 |&1:21|,5.53,4.77
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CC=C2)C1 |&1:21|,4.99,4.55
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2CCCC2)C1 |&1:17|,9.0,
CC1=CC=C(CN2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1,4.32,
CC1=CC(NC(=O)NC2=CN(CC(C)C)C(=O)C3=CC=CC=C23)=NO1,5.03,5.2
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C(=N)N)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,4.27,5.18
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC)C2=CC(Cl)=CC=C2C1=O,5.89,7.54
COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C)C(=O)C1=CC=C(Cl)C=C12,3.8,5.48
"O=C(CCl)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",4.54,7.26
C#CC1=CC=C(NC(=O)C=C)C=C1N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,4.46,
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|,4.19,5.46
CN1CCN(CC2=CC=CC=C2B2OC(C)(C)C(C)(C)O2)CC1,3.61,
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|,4.31,4.02
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(CC#N)=CC=C2C1=O |o1:3|,3.84,4.39
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(F)=CC=C2C1=O,4.07,6.83
CC1=CC=CC=C1NC(=O)C[C@H]1SC(=O)N(C2=CC=CC=C2)C1=O |&1:11|,4.83,6.23
CN1N=C(C2=CC=C(C(F)(F)F)C=C2)N=C2C1=NC(=O)N(C)C2=O,6.9,
COC1=CC=C(C(=O)NC2=CC=CC(/C=C3/C(=O)NC(=O)C4=CC=CC=C34)=C2)C=C1,,5.04
C=C(CN(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1)C(=O)NC1=CC=CC=C1,4.84,4.46
CCC(=O)NC1=CC=CC(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.77,4.55
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=CN1C)C(=O)C1=CC=C(F)C=C12 |a:1,16|",5.47,6.37
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,4.25,7.91
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(Cl)=CC=C2C1=O |a:7,22|",5.55,6.94
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COC(C)C)C2=CC(F)=CC=C2C1=O |a:7,22|",5.27,6.73
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|,4.81,5.55
CNC(=O)C1(N2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,5.78,7.54
CNC(=O)C1(N2C[C@@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)CC1 |a:7|,9.0,4.4
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CC=N1)C(=O)C1=CC=C(F)C=C12 |a:1,16|",5.44,6.25
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=NN1)C(=O)C1=CC=C(F)C=C12 |a:1,16|",4.56,5.67
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCNCC(F)(F)F)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,34|",5.94,6.91
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NN2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",6.3,8.1
"CC1=NC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=CN1 |a:7,22|",6.3,7.56
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CNN=C2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",5.41,7.21
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=C(OC)C=C1Cl |&1:6|,4.42,7.64
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CNC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,4.59,4.05
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)C2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(N2C=CC=N2)C=C1 |&1:6|,4.41,5.93
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NC(C)=N2)C2=CC(Cl)=CC=C2C1=O |a:7,22|",6.76,7.5
"COC[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNN=C1)C(=O)C1=CC=C(Cl)C=C12 |a:3,18|",5.99,7.26
"C=C(C(=O)OC)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:6,&2:8|",4.24,6.17
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCN1CC3(COC3)C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1 |a:9,35|",6.43,7.24
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN(C)C)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",6.36,7.38
"CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CF)C2=CC(Cl)=CC=C2C1=O |a:7,22|",5.77,7.51
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1C[C@@H]3C[C@H]1CO3)C(=O)C1=CC=C(Cl)C=C12 |a:1,16,23,25|",6.5,8.0
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NN=CO1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=CC=NC=N1 |a:9,32|",6.63,7.13
"C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:5,&2:7|",3.56,5.53
"C[C@H]1COC[C@H](C)N1CCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O |a:1,5,12,27|",6.58,8.02
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCOC(F)(F)C1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",6.4,7.89
"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)CC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",5.64,7.7
"C#CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",4.6,5.32
"C=CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:16,&2:22|",1.43,
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C(=O)NC)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,4.45,4.2
"C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(C1CNC1)C(=O)C1=CC=C(Cl)C=C12 |a:1,16|",6.16,7.27
"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2(F)COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",5.63,6.89
CCC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,5.69,5.89
"O=C(N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21)C12CC1C2 |&1:14,&2:20|",4.25,
"N#CN1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:14,&2:20|",8.56,
C=CC(=O)N1CCCC2=C1C=CC=C2N(C(=O)CC1=CN=CC2=CC=CC=C12)C1(C2=CC=CC(Cl)=C2)COC1,5.01,4.99
"C=C(C(=O)NC1=CC=CC=C1)[C@H]1C[C@]2(CN(CC(=O)NC)C(=O)C3=CC=C(Cl)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:11,&2:13|",4.59,5.59
"CC#CC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:17,&2:23|",4.18,
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(C2=CC=CN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,5.41,4.79
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(N2CC3(CCC3)C2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,4.8,
"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2CS(=O)(=O)C2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",6.39,7.26
"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=NC=NC=N2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",6.75,7.4
"CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCC2COC2)C2=CC(Cl)=CC=C2C1=O |a:6,21|",5.58,6.92
C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC([C@H]2CCCN2)=C1)C(=O)CC1=CN=CC2=CC=CC=C12 |&1:21|,4.27,4.26
"C[C@H](OC(C)(C)C)[C@@H](NC(=O)OCC1=CC=CC(OCCCCCCOC2=CC=CC3=C2C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)=C1)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O |a:1,7,49,60,64,&1:35|",4.16,5.41
C=CC(=O)N1CCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,6.34,5.75
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Br)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,6.35,7.62
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=C(F)C=CC=C34)C=C21,6.14,7.41
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C4=CC=CC=C4)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,5.03,5.88
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C(F)(F)F)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,5.8,7.4
C=CC(=O)N1CCCC2=CC=C(N(C(=O)CC3=CN=CC4=CC=CC=C34)N(C)C3=CC=CC(Cl)=C3)C=C21,5.79,8.19
C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,4.54,4.11
C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,4.65,
C=CC[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(CN)=C1 |&1:3|,4.43,4.43
C=CC[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,4.39,4.42
"CCNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:22,28|",2.74,
"CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:21,27|",4.25,
"CC(C)CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:24,30|",6.0,7.26
C=CC(=O)N1C[C@H](CO)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|,5.71,
"CC(C)NS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:23,29|",4.52,
"O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1CNC1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CS1 |a:9,31|",6.58,7.56
C=CC(=O)N1CCCCC2=CC=C(N(CC3=CC=C(Cl)C=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,4.55,4.56
C=CC[C@H](NC1=CC=CC(Cl)=C1)C1=CC=CC(C2=NNN=N2)=C1 |&1:3|,4.87,4.62
C=CC(=O)N1C[C@H](C(N)=O)CC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21 |&1:6|,6.05,6.66
C=CC[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:3|,4.35,4.65
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |&1:16|,,5.16
"C[C@H](F)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",,4.07
CNS(=O)(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:5|,,4.25
"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1C1=NC=CC=C12 |&1:14,&2:17|",,4.65
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1 |a:16|,,4.46
CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C(C(F)F)=N1 |&1:4|,,4.31
"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8,10|",6.22,5.98
CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:2|,,5.07
CC(C)C1=NC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=NO1 |&1:6|,,4.04
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C=CC3=CC=CC=C3O2)C1 |&1:17|,,4.17
N#CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,4.6,5.36
"O=C1C[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]2N1 |&1:3,21|",,4.03
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |&1:16|,,5.07
C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,,4.57
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |&1:16,&2:23|",5.17,6.05
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |&1:16|,,5.26
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |&1:1,18|",,5.13
CN1N=CC=C1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|,,4.26
"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",5.64,5.89
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C=CC1=CC=CS1 |&1:17|,,4.88
"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C1)OC[C@H]1C[C@H]12 |&1:17,&2:21,23|",,4.02
"CO[C@H]1[C@H]2C[C@H]3CN(C(=O)CC4=CN=CC5=CC=CC=C45)[C@H]1[C@H]3C2 |&1:2,&2:3,&3:5,&4:21,&5:22|",,4.23
"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@H]1CCC2 |&1:14,&2:18|",4.4,5.24
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](S(=O)(=O)C(F)F)C1 |&1:16|,,4.63
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)F |a:15,16,18|",,4.96
CS(=O)(=O)CC[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|,,4.06
CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,,5.16
CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:3|,4.75,5.9
"CCO[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)C1 |&1:3,&2:5,&3:21|",,4.57
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=NOC(C2CC2)=C1 |&1:17|,,4.51
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC(F)(F)F |&1:18|,,4.32
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC(F)=C2)C1 |&1:17|,,5.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=NO2)CC1,,4.87
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NOC=C2)C1 |&1:17|,,4.47
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CS(=O)(=O)C[C@H]2C1 |a:15,21|",,4.63
CCC1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:6|,,4.25
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2COC[C@@]2(C2=CC=CC=C2)C1 |&1:15,19|",,5.17
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCO[C@H]2C1 |&1:16,20|",,4.23
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCOCC2)C1 |&1:17|,,4.34
CCC1=CC=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|,,4.55
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@H]2C1 |&1:15,&2:22|",4.53,5.87
"CN1C[C@H]2[C@H](CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C1=O |&1:3,4|",,4.05
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CCCN1C=CC=N1 |&1:17|,,4.15
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C=C[C@H]1CC2 |&1:15,&2:18|",,4.66
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(C=CC3=CC=CC=C3O2)CC1,4.23,5.79
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2=CC=CC=C2)[C@H]2CCC[C@H]21 |&1:15,&2:22,&3:26|",,5.2
"COC[C@H]1CC[C@@H](C2=CC=C(F)C=C2)N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:3,6|",,5.01
"CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)S1 |a:7,22|",7.34,7.62
"CC1(C)CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2COC[C@H]21 |&1:18,22|",,4.42
CCO[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|,,4.14
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NOC=N1 |&1:18|,,4.37
COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|,4.26,5.23
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC(C(F)F)=NO2)C1 |&1:16|,,4.62
CN1C=C([C@H]2CCCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C=N1 |&1:4|,,4.27
CC1=CSC(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,,4.17
